"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFMID",253.474200012574,1.59827929601924,0.453165255965489,3.52692373252232,0.0004204178469242,0.00345054055105195
"AFTPH",1264.52107853748,-1.4212106990669,0.414270029178399,-3.4306384699987,0.000602162552719887,0.00460311611784033
"AGA",255.240347584841,-1.47093994058682,0.491942544078661,-2.99006450710963,0.00278918537276057,0.0153581021605002
"AGAP3",623.835624512648,1.95826152668379,0.598410572343334,3.27243805037631,0.00106624236028116,0.00721341168027393
"AGBL1",124.468997708281,1.10963964421008,0.420914450598484,2.63625932213142,0.0083825642385154,0.0360928024984782
"AGFG1",2205.76331722661,-1.3438712767799,0.29427319456191,-4.56674716424835,4.95350885667262e-06,9.10532540437592e-05
"AGFG2",211.705976237088,1.61560544333347,0.46677460931174,3.46121106654813,0.000537751020380651,0.00419925855539221
"AGK",896.990263839529,-1.08090835987275,0.428251746635718,-2.52400222150687,0.0116027195408116,0.0461977717153018
"AGL",650.590850088437,-1.20965158718803,0.344039776982984,-3.51602247215693,0.000438063904367867,0.00356311032166099
"AGPAT1",288.859238298365,2.68763335732734,0.627225568971011,4.28495503098911,1.82776154477922e-05,0.000268325465416865
"AGPAT5",528.194705057488,-1.33676545248781,0.419648126609484,-3.18544363175909,0.00144532257325399,0.00919767498435788
"AGRN",839.884157041131,2.95724529328851,0.569472820349335,5.19295247747632,2.06985032712419e-07,5.98276738031375e-06
"AGTPBP1",926.423622945281,-1.89812264300034,0.300984904133192,-6.30637157191239,2.85652793884497e-10,1.98715639582467e-08
"AHDC1",1175.73465686946,2.72501374664051,0.462811195519911,5.88795987007033,3.90992022457699e-09,1.95320100759652e-07
"AHNAK",184654.693901551,1.04522271450537,0.319839222165268,3.26796290783024,0.00108324561252153,0.00730613814546139
"AHSA1",364.609155808665,1.07600124952153,0.397415438084246,2.70749736021436,0.00677926099130624,0.0305964202784819
"AIDAP2",147.192166151708,1.73587983987952,0.575657024732336,3.01547582206028,0.00256576394095927,0.0144185956715953
"AIFM2",252.659866325045,1.08907515482901,0.393997591840412,2.76416703397044,0.00570683175865251,0.0266238719519452
"AIP",302.896204419889,2.57376250195446,0.454384774425035,5.66427980605474,1.47643318331772e-08,6.30534976618601e-07
"AJM1",161.605461405842,4.00311343964874,0.668608888630837,5.98722737271148,2.13448299316638e-09,1.16630489906056e-07
"AJUBA",75.3098570136615,2.0840250640292,0.555569805257828,3.75114890029355,0.000176026118820982,0.00171838713351232
"AK1",545.899218195151,3.25650870371759,0.483800767628601,6.73109453645497,1.68391508207739e-11,1.59165888137211e-09
"AK3P3",12.3692864425231,-4.70814154242222,1.74237273083415,-2.7021437256816,0.00688939744294596,0.0310022884932568
